,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1154,11,1141,13,24,0,1007,123,197074,585.57,62.41,12.18
02,02 - Saguenay–Lac-Saint-Jean,6665,91,6499,166,189,3,5803,673,277632,2400.66,242.41,68.08
03,03 - Capitale-Nationale,15156,197,14882,274,564,6,12400,2192,755459,2006.20,290.15,74.66
04,04 - Mauricie et Centre-du-Québec,8460,89,8247,213,320,2,7121,1019,522341,1619.63,195.08,61.26
05,05 - Estrie,6497,78,6157,340,115,3,5319,1063,493163,1317.41,215.55,23.32
06,06 - Montréal,60709,609,57937,2772,3741,10,51156,5812,2065657,2938.97,281.36,181.10
07,07 - Outaouais,4176,40,3876,300,96,0,3693,387,401032,1041.31,96.50,23.94
08,08 - Abitibi-Témiscamingue,305,1,272,33,4,0,292,9,147616,206.62,6.10,2.71
09,09 - Côte-Nord,256,5,243,13,3,0,215,38,90033,284.34,42.21,3.33
10,10 - Nord-du-Québec,61,0,59,2,0,0,56,5,13558,449.92,36.88,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1517,10,1498,19,42,0,1407,68,89998,1685.59,75.56,46.67
12,12 - Chaudière-Appalaches,6930,88,6684,246,160,0,5984,786,430309,1610.47,182.66,37.18
13,13 - Laval,14032,128,12761,1271,737,1,11910,1385,442745,3169.32,312.82,166.46
14,14 - Lanaudière,13406,104,12701,705,372,3,11813,1221,520092,2577.62,234.77,71.53
15,15 - Laurentides,9250,86,8651,599,346,0,8243,661,626968,1475.35,105.43,55.19
16,16 - Montérégie,24042,234,22640,1402,957,8,20801,2284,1432751,1678.03,159.41,66.79
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,0,17,0,1,0,15,1,18385,92.47,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,136,2,134,2,0,0,131,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,172801,1773,164429,8372,7671,36,147398,17732,8539073,2023.65,207.66,89.83
