No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,183,8,26,0,233,1.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,177,206,12,162,12,569,3.2 %
03,03 - Capitale-Nationale,9,686,504,42,511,41,1793,10.1 %
04,04 - Mauricie et Centre-du-Québec,4,158,932,23,114,5,1236,7.0 %
05,05 - Estrie,4,213,309,29,220,17,792,4.5 %
06,06 - Montréal,220,2902,1599,163,853,82,5819,32.8 %
07,07 - Outaouais,11,108,170,17,75,9,390,2.2 %
08,08 - Abitibi-Témiscamingue,3,42,66,6,20,1,138,0.8 %
09,09 - Côte-Nord,0,0,61,0,1,0,62,0.4 %
10,10 - Nord-du-Québec,0,0,6,0,0,0,6,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,66,0,13,0,95,0.5 %
12,12 - Chaudière-Appalaches,6,199,342,11,207,7,772,4.4 %
13,13 - Laval,6,583,347,64,237,12,1249,7.1 %
14,14 - Lanaudière,3,351,328,26,193,6,907,5.1 %
15,15 - Laurentides,64,289,393,69,136,14,965,5.4 %
16,16 - Montérégie,16,739,1158,81,649,13,2656,15.0 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,18,0,0,1,19,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),349,6476,6701,551,3417,220,17714,
9999,Ensemble du Québec (%),2.0 %,36.6 %,37.8 %,3.1 %,19.3 %,1.2 %,.,100.0 %

