,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20913,28,20874,39,176,0,20487,250,197738.33333,10576.10,126.48,89.01,13,886,2
02,02 - Saguenay-Lac-Saint-Jean,30498,15,30137,361,446,1,29806,246,278600,10946.88,88.30,160.09,20,1623,1
03,03 - Capitale-Nationale,88855,85,88494,361,1559,0,86621,675,761103.66667,11674.49,88.05,204.83,45,4314,15
04,04 - Mauricie et Centre-du-Québec,59056,29,58816,240,1011,0,57688,357,527666.66667,11191.91,67.32,191.60,30,3196,4
05,05 - Estrie,49829,36,49305,524,626,1,48827,376,502406,9918.07,74.02,124.60,32,2773,7
06,06 - Montréal,309943,172,306584,3359,5487,6,302711,1745,2061667.3333,15033.61,84.24,266.14,144,16224,18
07,07 - Outaouais,39919,20,39474,445,316,0,39350,253,405378.66667,9847.34,61.75,77.95,15,1872,2
08,08 - Abitibi-Témiscamingue,11065,16,11024,41,112,1,10832,121,147876.33333,7482.60,81.79,75.74,13,651,0
09,09 - Côte-Nord,8754,20,8728,26,46,0,8503,205,90082.333333,9717.78,228.62,51.06,7,513,1
10,10 - Nord-du-Québec,1519,3,1288,231,4,0,1507,8,13383.666667,11349.66,60.13,29.89,8,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9145,12,9108,37,82,0,8936,127,90783.333333,10073.43,139.72,90.32,4,445,1
12,12 - Chaudière-Appalaches,61381,36,61098,283,669,0,60399,313,434525.66667,14125.98,71.70,153.96,18,2554,0
13,13 - Laval,71649,35,69689,1960,1117,1,70219,313,445993.33333,16065.04,69.54,250.45,24,3274,2
14,14 - Lanaudière,69911,37,69195,716,776,0,68869,266,530581,13176.31,49.53,146.25,27,2826,3
15,15 - Laurentides,79735,80,79130,605,765,0,78348,622,640046.66667,12457.69,95.88,119.52,37,3772,4
16,16 - Montérégie,149776,105,147862,1914,2246,1,146419,1111,1452381.3333,10312.44,75.74,154.64,80,8204,17
17,17 - Nunavik,3019,4,3013,6,10,0,2996,13,14619,20651.21,87.42,68.40,0,111,0
18,18 - Terres-Cries-de-la-Baie-James,2959,2,2564,395,17,0,2919,23,18660.333333,15857.17,121.24,91.10,2,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,391,0
99,Hors Québec,2962,3,2954,8,2,0,2938,22,.,.,.,.,1,0,0
999,Ensemble du Québec,1070888,738,1059337,11551,15467,11,1048375,7046,8613493.6667,12432.68,81.20,179.57,520,53782,77

