No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,0,1,0,0,0,0,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,0,21,0,0,0,5,0,26,"0,5%"
3,03 - Capitale-Nationale,2,147,7,2,35,0,1,194,"3,4%"
4,04 - Mauricie et Centre-du-Québec,4,125,28,12,43,0,0,212,"3,7%"
5,05 - Estrie,0,1,7,0,15,3,0,26,"0,5%"
6,06 - Montréal,180,2441,270,80,422,33,17,3443,"60,6%"
7,07 - Outaouais,4,18,3,7,1,0,0,33,"0,6%"
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,0,4,"0,1%"
9,09 - Côte-Nord,0,0,0,0,0,0,0,0,"0,0%"
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,0,2,2,0,5,0,0,9,"0,2%"
12,12 - Chaudière-Appalaches,1,0,0,0,7,0,0,8,"0,1%"
13,13 - Laval,0,451,56,41,121,5,0,674,"11,9%"
14,14 - Lanaudière,3,115,40,5,49,0,0,212,"3,7%"
15,15 - Laurentides,46,86,28,16,47,7,1,231,"4,1%"
16,16 - Montérégie,9,259,101,30,198,7,0,604,"10,6%"
17,17 - Nunavik,0,0,0,0,0,0,0,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,0,0,0,"0,0%"
99,Inconnu,0,0,0,0,0,0,3,3,"0,1%"
999,Ensemble du Québec,250,3666,546,193,944,60,22,5681,
9999,,"4,4%","64,5%","9,6%","3,4%","16,6%","1,1%","0,4%",,"100,0%"
