"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;13805
02 - Saguenay - Lac-Saint-Jean;17928
03 - Capitale-Nationale;53771
04 - Mauricie et Centre-du-Québec;36203
05 - Estrie;28348
06 - Montréal;276275
07 - Outaouais;19983
08 - Abitibi-Témiscamingue;13706
09 - Côte-Nord;18877
10 - Nord-du-Québec;8569
11 - Gaspésie - Îles-de-la-Madeleine;12008
12 - Chaudière-Appalaches;28466
13 - Laval;47505
14 - Lanaudière;39118
15 - Laurentides;40852
16 - Montérégie;101905
17 - Nunavik;5044
18 - Terres-Cries-de-la-Baie-James;10450
Inconnue;1787
Total;774600
