Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;15;291;264,9;3581;3260,1;0;;0;
5-9 ans;25;348;323,5;4919;4572,4;0;;0;
10-19 ans;30;537;270;11582;5822,6;0;;0;
20-29 ans;40;691;212,2;18401;5651,8;0;;< 5;n.p.
30-39 ans;36;705;214,8;16886;5144,8;0;;7;n.p.
40-49 ans;45;683;246;16396;5906,4;< 5;n.p.;17;* 6,1
50-59 ans;22;506;197,3;13518;5270,2;< 5;n.p.;89;34,7
60-69 ans;19;350;161,8;8509;3933,3;< 5;n.p.;301;139,1
70-79 ans;7;181;125,3;5835;4037,8;8;n.p.;785;543,2
80 ans et +;< 5;121;120,3;11485;11417,5;27;* 26,8;3374;3354,2
Manquant;< 5;0;;83;;0;;0;
Total;245;4413;213,6;111195;5383;43;2,1;4576;221,5
