RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,2,2
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,12,,,,12,198,186
04 - Mauricie et Centre-du-Québec,,,,,0,12,12
05 - Estrie,9,,,,9,40,31
06 - Montréal,311,1,1,2,315,1339,1024
07 - Outaouais,,,,,0,101,101
08 - Abitibi-Témiscamingue,,100,,,100,155,55
09 - Côte-Nord,,,,,0,0,0
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,43,43
13 - Laval,29,,,,29,290,261
14 - Lanaudière,8,2,,,10,109,99
15 - Laurentides,29,1,,,30,202,172
16 - Montérégie,15,1,,,16,94,78
Inconnu,,1,,,1,114,113
Hors Québec,,,,,0,0,0
Ensemble du Québec,413,106,1,2,522,2701,2179
