Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;408;1,4;371,4;0;
5-9 ans;355;1,2;330;0;
10-19 ans;1262;4,3;634,4;0;
20-29 ans;4175;14,1;1282,3;< 5;n.p.
30-39 ans;3945;13,3;1202;< 5;n.p.
40-49 ans;4042;13,6;1456,1;15;*5,4
50-59 ans;3633;12,2;1416,4;68;26,5
60-69 ans;2495;8,4;1153,3;222;102,6
70-79 ans;2450;8,3;1695,4;594;411
80 ans et +;6893;23,2;6852,5;2560;2545
Manquant;87;;;;
Total;29745;;1440;3466;167,8
