,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20682,31,20643,39,174,0,20246,262,197738.33333,10459.28,132.55,88.00,27,858,5
02,02 - Saguenay-Lac-Saint-Jean,30281,26,29920,361,441,1,29516,324,278600,10868.99,116.30,158.29,36,1611,2
03,03 - Capitale-Nationale,88245,51,87884,361,1551,-1,85909,785,761103.66667,11594.35,102.40,203.78,76,4255,6
04,04 - Mauricie et Centre-du-Québec,58744,15,58504,240,1006,0,57269,469,527666.66667,11132.79,88.44,190.65,52,3169,-1
05,05 - Estrie,49528,24,49004,524,622,0,48345,561,502406,9858.16,110.44,123.80,67,2747,2
06,06 - Montréal,308322,148,304961,3361,5476,1,300969,1877,2061667.3333,14954.98,90.61,265.61,205,16093,19
07,07 - Outaouais,39676,22,39231,445,314,0,39121,241,405378.66667,9787.39,58.82,77.46,32,1841,4
08,08 - Abitibi-Témiscamingue,10908,13,10867,41,111,0,10690,107,147876.33333,7376.43,72.33,75.06,11,630,1
09,09 - Côte-Nord,8563,17,8537,26,46,0,8296,221,90082.333333,9505.75,246.46,51.06,17,494,1
10,10 - Nord-du-Québec,1490,2,1261,229,4,0,1482,4,13383.666667,11132.97,30.07,29.89,1,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9044,6,9007,37,82,0,8829,133,90783.333333,9962.18,146.32,90.32,10,432,1
12,12 - Chaudière-Appalaches,61118,26,60835,283,665,3,60086,367,434525.66667,14065.45,84.06,153.04,45,2541,4
13,13 - Laval,71338,19,69378,1960,1114,3,69916,308,445993.33333,15995.31,68.43,249.78,39,3240,0
14,14 - Lanaudière,69619,34,68903,716,774,1,68494,351,530581,13121.28,65.36,145.88,55,2807,3
15,15 - Laurentides,79141,28,78536,605,761,0,77719,661,640046.66667,12364.88,101.89,118.90,77,3729,5
16,16 - Montérégie,148748,121,146835,1913,2231,2,145228,1289,1452381.3333,10241.66,87.88,153.61,125,8074,10
17,17 - Nunavik,3007,2,3001,6,10,0,2990,7,14619,20569.12,47.07,68.40,3,111,0
18,18 - Terres-Cries-de-la-Baie-James,2938,3,2540,398,16,0,2909,13,18660.333333,15744.63,68.53,85.74,7,100,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,379,1
99,Hors Québec,2939,2,2931,8,2,0,2916,21,.,.,.,.,3,0,0
999,Ensemble du Québec,1064331,590,1052778,11553,15400,10,1040930,8001,8613493.6667,12356.55,92.21,178.79,888,53163,63

