RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1251,635.69,.,.
02 - Saguenay–Lac-Saint-Jean,85,0,2,0,87,1018,367.01,"100,0","100,0"
03 - Capitale-Nationale,624,3,10,0,637,8025,"1,055.72","93,8","80,0"
04 - Mauricie et Centre-du-Québec,103,0,0,3,106,1405,267.97,"100,0","80,0"
05 - Estrie,93,0,16,1,110,2438,490.77,"90,3","78,6"
06 - Montréal,3232,125,214,21,3592,14479,696.62,"88,7","91,9"
07 - Outaouais,481,16,34,0,531,3883,960.05,"97,1","100,0"
08 - Abitibi-Témiscamingue,0,177,0,0,177,272,184.21,"100,0","100,0"
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,191,213.06,.,.
12 - Chaudière-Appalaches,499,2,11,0,512,3516,814.06,"100,0","70,4"
13 - Laval,417,13,18,1,449,3293,737.40,"97,0","90,8"
14 - Lanaudière,286,32,11,0,329,1797,342.52,"87,8","76,7"
15 - Laurentides,453,16,47,0,516,2581,407.41,"88,6","79,5"
16 - Montérégie,328,17,129,7,481,4455,308.58,"91,7","89,4"
Inconnu,0,1,0,0,1,722,,100,100
Hors Québec,47,9,3,2,61,104,,50,100
Ensemble du Québec,6835,412,495,35,7777,49596,577.24,91.4,"87,7"
