Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;46;41,9;4760;4333,5;0;;0;
5-9 ans;n.d.;51;47,4;6277;5834,7;0;;0;
10-19 ans;n.d.;119;59,8;14530;7304,6;0;;0;
20-29 ans;n.d.;111;34,1;22330;6858,6;0;;< 5;n.p.
30-39 ans;n.d.;93;28,3;20300;6185;0;;7;n.p.
40-49 ans;n.d.;81;29,2;19702;7097,4;0;;22;* 7,9
50-59 ans;n.d.;73;28,5;16204;6317,3;< 5;n.p.;103;40,2
60-69 ans;n.d.;20;* 9,2;9877;4565,6;< 5;n.p.;330;152,5
70-79 ans;n.d.;18;* 12,5;6444;4459,3;< 5;n.p.;834;577,1
80 ans et +;n.d.;17;* 16,9;11945;11874,8;< 5;n.p.;3465;3444,6
Manquant;n.d.;0;;92;;0;;0;
Total;44;629;30,5;132461;6412,5;8;n.p.;4764;230,6
