Régions sociosanitaires;2021-06-20;2021-06-21;2021-06-22;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;2;1;3 950
02 - Saguenay – Lac-Saint-Jean;0;2;2;11 008
03 - Capitale-Nationale;2;0;2;32 747
04 - Mauricie-et-Centre-du-Québec;1;5;2;15 174
05 - Estrie;1;1;1;14 876
06 - Montréal;36;25;44;132 461
07 - Outaouais;6;3;9;12 448
08 - Abitibi-Témiscamingue;0;0;0;1 145
09 - Côte-Nord;0;1;0;574
10 - Nord-du-Québec;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;1;3;2 060
12 - Chaudière-Appalaches;2;6;3;19 255
13 - Laval;13;16;16;31 537
14 - Lanaudière;12;7;7;23 995
15 - Laurentides;6;2;2;20 959
16 - Montérégie;10;13;33;51 291
17 - Nunavik;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;1;0;2;463
Région à déterminer;0;0;0;4
Total;90;84;127;374 222
