No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,0,2,0,7,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,0,22,2,0,0,5,29,0.5 %
3,03 - Capitale-Nationale,2,159,35,2,58,0,256,4.2 %
4,04 - Mauricie et Centre-du-Québec,6,124,30,12,44,0,216,3.6 %
5,05 - Estrie,1,7,7,0,16,3,34,0.6 %
6,06 - Montréal,187,2442,315,101,427,35,3507,58.1 %
7,07 - Outaouais,4,18,4,7,1,0,34,0.6 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,1,0,0,0,1,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,9,8,0,5,0,22,0.4 %
12,12 - Chaudière-Appalaches,4,2,5,4,24,4,43,0.7 %
13,13 - Laval,2,465,60,41,130,6,704,11.7 %
14,14 - Lanaudière,3,124,44,6,48,0,225,3.7 %
15,15 - Laurentides,60,99,42,29,54,7,291,4.8 %
16,16 - Montérégie,11,280,118,33,207,9,658,10.9 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),283,3751,676,235,1017,70,6032,
9999,Ensemble du Québec (%),4.7 %,62.2 %,11.2 %,3.9 %,16.9 %,1.2 %,           .,100.0 %
