,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,16295,90,16256,39,113,2,15309,873,197738.33333,8240.69,441.66,57.15,129
02,02 - Saguenay-Lac-Saint-Jean,25619,124,25258,361,364,0,24451,804,278600,9195.62,288.59,130.65,74
03,03 - Capitale-Nationale,77075,281,76714,361,1437,1,73600,2038,761103.66667,10126.74,265.86,188.80,172
04,04 - Mauricie et Centre-du-Québec,50674,157,50434,240,907,1,48368,1399,527666.66667,9603.41,263.82,171.89,129
05,05 - Estrie,43161,118,42636,525,550,0,41941,670,502406,8590.86,131.90,109.47,58
06,06 - Montréal,285589,424,282226,3363,5339,0,277391,2859,2061667.3333,13852.33,138.02,258.97,197
07,07 - Outaouais,36109,55,35664,445,291,0,35420,398,405378.66667,8907.47,97.14,71.78,33
08,08 - Abitibi-Témiscamingue,8542,75,8501,41,80,1,7985,477,147876.33333,5776.45,322.43,54.10,43
09,09 - Côte-Nord,6471,61,6444,27,39,0,5799,633,90082.333333,7183.43,705.94,43.29,68
10,10 - Nord-du-Québec,1172,4,964,208,4,0,1127,41,13383.666667,8756.94,308.18,29.89,2
11,11 - Gaspésie-Îles-de-la-Madeleine,6719,106,6683,36,59,1,5900,760,90783.333333,7401.14,836.12,64.99,64
12,12 - Chaudière-Appalaches,54706,153,54423,283,568,2,52566,1572,434525.66667,12589.82,360.08,130.72,127
13,13 - Laval,66750,81,64787,1963,1048,0,65190,512,445993.33333,14966.59,113.75,234.98,30
14,14 - Lanaudière,63697,93,62981,716,724,2,62289,684,530581,12005.14,127.37,136.45,52
15,15 - Laurentides,70990,119,70383,607,707,0,69299,984,640046.66667,11091.38,151.68,110.46,99
16,16 - Montérégie,132246,236,130338,1908,2044,2,128316,1886,1452381.3333,9105.46,128.58,140.73,157
17,17 - Nunavik,2792,4,2788,4,10,0,2732,50,14619,19098.43,336.22,68.40,3
18,18 - Terres-Cries-de-la-Baie-James,2182,17,1810,372,14,0,2052,116,18660.333333,11693.25,611.46,75.03,17
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2705,5,2697,8,2,0,2659,44,.,.,.,.,4
999,Ensemble du Québec,953498,2203,941990,11508,14300,12,922398,16800,8613493.6667,11069.82,193.61,166.02,1458

