,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,13929,92,13890,39,96,1,12720,1113,197738.33333,7044.16,563.08,48.55,108
02,02 - Saguenay-Lac-Saint-Jean,23401,84,23042,359,330,1,22085,986,278600,8399.50,353.92,118.45,109
03,03 - Capitale-Nationale,71421,236,71056,365,1359,3,66782,3280,761103.66667,9383.87,427.88,178.56,310
04,04 - Mauricie et Centre-du-Québec,47225,119,46986,239,842,0,44311,2072,527666.66667,8949.78,390.73,159.57,199
05,05 - Estrie,40906,112,40381,525,528,2,39346,1032,502406,8142.02,203.16,105.09,120
06,06 - Montréal,277964,382,274612,3352,5282,0,267856,4826,2061667.3333,13482.49,232.97,256.20,589
07,07 - Outaouais,34721,76,34276,445,283,0,33525,913,405378.66667,8565.08,222.83,69.81,77
08,08 - Abitibi-Témiscamingue,7035,58,6996,39,58,2,6448,529,147876.33333,4757.35,357.57,39.22,40
09,09 - Côte-Nord,4855,41,4828,27,23,2,4214,618,90082.333333,5389.51,689.21,25.53,38
10,10 - Nord-du-Québec,953,5,779,174,2,0,926,25,13383.666667,7120.62,187.91,14.94,8
11,11 - Gaspésie-Îles-de-la-Madeleine,5054,44,5018,36,53,0,4721,280,90783.333333,5567.10,308.04,58.38,16
12,12 - Chaudière-Appalaches,50853,141,50576,277,520,1,48392,1941,434525.66667,11703.11,444.60,119.67,196
13,13 - Laval,65185,97,63224,1961,1031,3,63047,1107,445993.33333,14615.69,245.93,231.17,116
14,14 - Lanaudière,61659,94,60945,714,711,3,59368,1580,530581,11621.03,294.22,134.00,116
15,15 - Laurentides,67585,176,66978,607,684,0,65150,1751,640046.66667,10559.39,269.92,106.87,161
16,16 - Montérégie,126662,250,124757,1905,1988,4,121329,3345,1452381.3333,8720.99,228.05,136.88,318
17,17 - Nunavik,2587,25,2583,4,9,0,2362,216,14619,17696.15,1452.49,61.56,6
18,18 - Terres-Cries-de-la-Baie-James,2073,14,1856,217,12,0,1915,146,18660.333333,11109.13,769.60,64.31,17
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2557,9,2549,8,1,0,2527,29,.,.,.,.,3
999,Ensemble du Québec,906629,2055,895335,11294,13812,22,867028,25789,8613493.6667,10525.68,297.20,160.35,2547

