"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;77262
02 - Saguenay - Lac-Saint-Jean;107814
03 - Capitale-Nationale;287239
04 - Mauricie et Centre-du-Québec;191227
05 - Estrie;172406
06 - Montréal;784527
07 - Outaouais;144089
08 - Abitibi-Témiscamingue;46287
09 - Côte-Nord;43208
10 - Nord-du-Québec;10117
11 - Gaspésie - Îles-de-la-Madeleine;48124
12 - Chaudière-Appalaches;162305
13 - Laval;144818
14 - Lanaudière;174163
15 - Laurentides;213860
16 - Montérégie;466279
17 - Nunavik;9154
18 - Terres-Cries-de-la-Baie-James;18000
Inconnue;3147
Total;3104026
