RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,72,0,0,0,72,927,471.05,"100,0"
02 - Saguenay–Lac-Saint-Jean,1,0,1,0,2,347,125.10,"68,2"
03 - Capitale-Nationale,248,2,1,6,257,6663,876.54,"94,4"
04 - Mauricie et Centre-du-Québec,36,0,0,0,36,697,132.93,"92,9"
05 - Estrie,73,0,1,0,74,871,175.33,"84,8"
06 - Montréal,2092,22,15,11,2140,8374,402.89,"74,1"
07 - Outaouais,269,3,2,5,279,2763,683.14,"94,3"
08 - Abitibi-Témiscamingue,0,143,0,0,143,232,157.12,"100,0"
09 - Côte-Nord,0,0,0,0,0,70,78.33,"90,5"
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,55,61.35,"100,0"
12 - Chaudière-Appalaches,131,0,0,0,131,1826,422.77,"92,1"
13 - Laval,239,3,0,5,247,1995,446.74,"72,5"
14 - Lanaudière,181,5,1,6,193,1013,193.08,"73,4"
15 - Laurentides,232,6,5,1,244,1555,245.46,"81,1"
16 - Montérégie,120,3,4,0,127,2342,162.22,"77,8"
Inconnu,0,1,0,0,1,897,,"81,1"
Hors Québec,15,1,0,1,17,52,,"57,1"
Ensemble du Québec,3709,189,30,35,3963,30679,357.07,"82,2"
