No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,3,108, 7,,28,,,146,"2,9%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,5,121, 26,12,42,,,206,"4,1%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montrﾃｩal,170,2160, 244,67,416,26,5,3088,"61,4%"
7,07 - Outaouais,4,15, 3,5,,,,27,"0,5%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,2,427, 49,40,116,5,,639,"12,7%"
14,14 - Lanaudiﾃｨre,3,107, 35,5,49,,,199,"4,0%"
15,15 - Laurentides,31,71, 7,14,31,,,154,"3,1%"
16,16 - Montﾃｩrﾃｩgie,19,203, 77,26,162,7,2,496,"9,9%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,239,3236, 460,169,872,46,7,5029,
9999,,"4,8%","64,3%","9,1%","3,4%","17,3%","0,9%","0,1%",,"100,0%"
