No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,35,4,13,0,63,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,81,4,87,8,274,2.4 %
03,03 - Capitale-Nationale,4,530,221,32,325,28,1140,9.8 %
04,04 - Mauricie et Centre-du-Québec,5,154,280,22,110,5,576,5.0 %
05,05 - Estrie,3,133,96,18,122,12,384,3.3 %
06,06 - Montréal,208,2735,1001,137,709,73,4863,42.0 %
07,07 - Outaouais,11,79,63,14,53,3,223,1.9 %
08,08 - Abitibi-Témiscamingue,2,0,9,0,2,0,13,0.1 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,125,112,6,133,5,386,3.3 %
13,13 - Laval,2,510,182,53,187,5,939,8.1 %
14,14 - Lanaudière,3,250,144,12,122,3,534,4.6 %
15,15 - Laurentides,64,182,134,53,84,14,531,4.6 %
16,16 - Montérégie,15,621,424,62,472,9,1603,13.8 %
17,17 - Nunavik,0,0,1,0,0,0,1,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),325,5436,2812,417,2433,166,11589,
9999,Ensemble du Québec (%),2.8 %,46.9 %,24.3 %,3.6 %,21.0 %,1.4 %,.,100.0 %

