,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4644,8,4622,22,63,0,4485,96,196934.5,2358.14,48.78,31.99,7
02,02 - Saguenay-Lac-Saint-Jean,11615,29,11392,223,274,0,11221,120,277505,4185.51,43.26,98.74,4
03,03 - Capitale-Nationale,36059,38,35700,359,1140,0,34513,406,757803,4758.36,53.41,150.43,37
04,04 - Mauricie et Centre-du-Québec,19060,47,18821,239,576,0,17928,556,523331.5,3642.05,106.04,110.06,44
05,05 - Estrie,21128,167,20603,525,384,0,19345,1399,494966.5,4268.57,281.62,77.58,131
06,06 - Montréal,158600,350,155615,2985,4863,0,150661,3076,2072060.5,7654.22,147.99,234.69,249
07,07 - Outaouais,14711,25,14267,444,223,0,14337,151,402744,3652.69,37.33,55.37,18
08,08 - Abitibi-Témiscamingue,1541,4,1508,33,13,0,1446,82,147637,1043.78,55.53,8.81,9
09,09 - Côte-Nord,835,2,812,23,5,0,815,15,89700.5,930.88,16.78,5.57,1
10,10 - Nord-du-Québec,138,0,136,2,0,0,137,1,13521.5,1020.60,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2337,1,2315,22,48,0,2275,14,89823,2601.78,15.62,53.44,1
12,12 - Chaudière-Appalaches,24901,78,24630,271,386,1,23715,800,431109.5,5776.03,185.22,89.54,85
13,13 - Laval,38991,80,37049,1942,939,0,37326,726,444658.5,8768.75,162.57,211.17,68
14,14 - Lanaudière,29145,74,28434,711,534,0,28007,604,522367,5579.41,115.13,102.23,69
15,15 - Laurentides,27749,115,27144,605,531,0,26439,779,630238,4402.94,122.97,84.25,96
16,16 - Montérégie,61880,161,59960,1920,1603,1,58917,1360,1438226,4302.52,94.20,111.46,132
17,17 - Nunavik,1027,6,1019,8,1,0,964,62,14336.5,7163.53,430.17,6.98,20
18,18 - Terres-Cries-de-la-Baie-James,145,0,145,0,5,0,140,0,18507,783.49,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1315,4,1308,7,1,0,1289,25,.,.,.,.,6
999,Ensemble du Québec,455825,1189,445483,10342,11589,2,433964,10272,8565469.5,5321.66,119.55,135.30,977

