RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,122,0,2,2,126,,,,
03 - Capitale-Nationale,649,4,12,40,705,,,,
04 - Mauricie et Centre-du-Québec,117,0,1,41,159,,,,
05 - Estrie,99,0,17,19,135,,,,
06 - Montréal,3358,137,271,385,4151,,,,
07 - Outaouais,493,16,35,33,577,,,,
08 - Abitibi-Témiscamingue,0,177,0,1,178,,,,
09 - Côte-Nord,11,0,0,0,11,,,,
10 - Nord-du-Québec,0,1,0,1,2,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,3,11,,,,
12 - Chaudière-Appalaches,565,2,14,8,589,,,,
13 - Laval,446,13,20,90,569,,,,
14 - Lanaudière,307,33,13,35,388,,,,
15 - Laurentides,503,31,54,60,648,,,,
16 - Montérégie,372,25,154,164,715,,,,
Inconnu,0,1,0,3,4,,,,
Hors Québec,50,10,4,56,120,,,,
Ensemble du Québec,7273,450,597,943,9263,,,,
