Date,Regroupement,Croisement,Nom,vac_quo_1_n,vac_quo_2_n,vac_cum_1_n,vac_cum_2_n,vac_quo_tot_n,vac_cum_tot_n,cvac_cum_tot_1_p,cvac_cum_tot_2_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n
2020-12-14,Région,RSS00,Inconnue,22,0,22,0,22,22,0.08152617,0,20,0,20,0
2020-12-14,Région,RSS01,01 - Bas-Saint-Laurent,1,0,1,0,1,1,0.000499838,0,1,0,1,0
2020-12-14,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS03,03 - Capitale-Nationale,134,0,134,0,134,134,0.0160738,0,119,0,119,0
2020-12-14,Région,RSS04,04 - Mauricie et Centre-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS05,05 - Estrie,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS06,06 - Montréal,128,0,128,0,128,128,0.00617567,0,119,0,119,0
2020-12-14,Région,RSS07,07 - Outaouais,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS08,08 - Abitibi-Témiscamingue,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS09,09 - Côte-Nord,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS12,12 - Chaudière-Appalaches,5,0,5,0,5,5,0.00114893,0,5,0,5,0
2020-12-14,Région,RSS13,13 - Laval,1,0,1,0,1,1,0.000231707,0,1,0,1,0
2020-12-14,Région,RSS14,14 - Lanaudière,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS15,15 - Laurentides,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS16,16 - Montérégie,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS17,17 - Nunavik,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS98,Hors Québec,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,Région,RSS99,Ensemble du Québec,291,0,291,0,291,291,0.00313608,0,265,0,265,0
2020-12-14,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,1,0,1,0,1,1,0,0,0,0,0,0
2020-12-14,Groupe d'âge 1,GR1_16_59,16 à 59 ans,63,0,63,0,63,63,0.00129379,0,61,0,61,0
2020-12-14,Groupe d'âge 1,GR1_60_69,60 à 69 ans,24,0,24,0,24,24,0.00214624,0,24,0,24,0
2020-12-14,Groupe d'âge 1,GR1_70_79,70 à 79 ans,35,0,35,0,35,35,0.00435059,0,33,0,33,0
2020-12-14,Groupe d'âge 1,GR1_80_,80 ans et plus,168,0,168,0,168,168,0.0353271,0,147,0,147,0
2020-12-14,Groupe d'âge 1,TOT,Total,291,0,291,0,291,291,0.00313608,0,265,0,265,0
2020-12-14,Sexe,FEM,Féminin,194,0,194,0,194,194,,,,,,
2020-12-14,Sexe,INC,Inconnu,0,0,0,0,0,0,,,,,,
2020-12-14,Sexe,MASC,Masculin,97,0,97,0,97,97,,,,,,
2020-12-14,Sexe,TOT,Total,291,0,291,0,291,291,,,,,,
2020-12-14,Groupe prioritaire,GRP-Autres,Autres raisons,0,0,0,0,0,0,,,,,,
2020-12-14,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,230,0,230,0,230,230,,,,,,
2020-12-14,Groupe prioritaire,GRP-MC,Maladie chronique,0,0,0,0,0,0,,,,,,
2020-12-14,Groupe prioritaire,GRP-RPA,Résident en RPA,0,0,0,0,0,0,,,,,,
2020-12-14,Groupe prioritaire,GRP-TS,Travailleur de la santé,61,0,61,0,61,61,,,,,,
2020-12-14,Groupe prioritaire,TOT,Total,291,0,291,0,291,291,,,,,,
2020-12-15,Région,RSS00,Inconnue,79,0,101,0,79,101,0.395401924,0,77,0,97,0
2020-12-15,Région,RSS01,01 - Bas-Saint-Laurent,0,0,1,0,0,1,0.000499838,0,0,0,1,0
2020-12-15,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,3,0,3,0,3,3,0.00106859,0,3,0,3,0
2020-12-15,Région,RSS03,03 - Capitale-Nationale,618,0,752,0,618,752,0.095767198,0,590,0,709,0
2020-12-15,Région,RSS04,04 - Mauricie et Centre-du-Québec,5,0,5,0,5,5,0.000953278,0,5,0,5,0
2020-12-15,Région,RSS05,05 - Estrie,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,Région,RSS06,06 - Montréal,345,0,473,0,345,473,0.0238204,0,340,0,459,0
2020-12-15,Région,RSS07,07 - Outaouais,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,Région,RSS08,08 - Abitibi-Témiscamingue,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,Région,RSS09,09 - Côte-Nord,1,0,1,0,1,1,0,0,0,0,0,0
2020-12-15,Région,RSS10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,Région,RSS12,12 - Chaudière-Appalaches,47,0,52,0,47,52,0.0119489,0,47,0,52,0
2020-12-15,Région,RSS13,13 - Laval,23,0,24,0,23,24,0.00556097,0,23,0,24,0
2020-12-15,Région,RSS14,14 - Lanaudière,1,0,1,0,1,1,0.000190344,0,1,0,1,0
2020-12-15,Région,RSS15,15 - Laurentides,8,0,8,0,8,8,0.00126642,0,8,0,8,0
2020-12-15,Région,RSS16,16 - Montérégie,38,0,38,0,38,38,0.0026435,0,38,0,38,0
2020-12-15,Région,RSS17,17 - Nunavik,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,Région,RSS98,Hors Québec,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,Région,RSS99,Ensemble du Québec,1168,0,1459,0,1168,1459,0.0165325,0,1132,0,1397,0
2020-12-15,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,0,0,1,0,0,1,0,0,0,0,0,0
2020-12-15,Groupe d'âge 1,GR1_16_59,16 à 59 ans,850,0,913,0,850,913,0.019216,0,845,0,906,0
2020-12-15,Groupe d'âge 1,GR1_60_69,60 à 69 ans,116,0,140,0,116,140,0.0124303,0,115,0,139,0
2020-12-15,Groupe d'âge 1,GR1_70_79,70 à 79 ans,43,0,78,0,43,78,0.0100196,0,43,0,76,0
2020-12-15,Groupe d'âge 1,GR1_80_,80 ans et plus,159,0,327,0,159,327,0.066328456,0,129,0,276,0
2020-12-15,Groupe d'âge 1,TOT,Total,1168,0,1459,0,1168,1459,0.0165325,0,1132,0,1397,0
2020-12-15,Sexe,FEM,Féminin,821,0,1015,0,821,1015,,,,,,
2020-12-15,Sexe,INC,Inconnu,0,0,0,0,0,0,,,,,,
2020-12-15,Sexe,MASC,Masculin,347,0,444,0,347,444,,,,,,
2020-12-15,Sexe,TOT,Total,1168,0,1459,0,1168,1459,,,,,,
2020-12-15,Groupe prioritaire,GRP-Autres,Autres raisons,6,0,6,0,6,6,,,,,,
2020-12-15,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,226,0,456,0,226,456,,,,,,
2020-12-15,Groupe prioritaire,GRP-MC,Maladie chronique,0,0,0,0,0,0,,,,,,
2020-12-15,Groupe prioritaire,GRP-RPA,Résident en RPA,1,0,1,0,1,1,,,,,,
2020-12-15,Groupe prioritaire,GRP-TS,Travailleur de la santé,935,0,996,0,935,996,,,,,,
2020-12-15,Groupe prioritaire,TOT,Total,1168,0,1459,0,1168,1459,,,,,,
2020-12-16,Région,RSS00,Inconnue,73,0,174,0,73,174,0.692972444,0,73,0,170,0
2020-12-16,Région,RSS01,01 - Bas-Saint-Laurent,0,0,1,0,0,1,0.000499838,0,0,0,1,0
2020-12-16,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,1,0,4,0,1,4,0.00142479,0,1,0,4,0
2020-12-16,Région,RSS03,03 - Capitale-Nationale,484,0,1236,0,484,1236,0.161142831,0,484,0,1193,0
2020-12-16,Région,RSS04,04 - Mauricie et Centre-du-Québec,3,0,8,0,3,8,0.00152524,0,3,0,8,0
2020-12-16,Région,RSS05,05 - Estrie,1,0,1,0,1,1,0.000197963,0,1,0,1,0
2020-12-16,Région,RSS06,06 - Montréal,283,0,756,0,283,756,0.0385071,0,283,0,742,0
2020-12-16,Région,RSS07,07 - Outaouais,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-16,Région,RSS08,08 - Abitibi-Témiscamingue,1,0,1,0,1,1,0.000666538,0,1,0,1,0
2020-12-16,Région,RSS09,09 - Côte-Nord,1,0,2,0,1,2,0.00109111,0,1,0,1,0
2020-12-16,Région,RSS10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-16,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-16,Région,RSS12,12 - Chaudière-Appalaches,39,0,91,0,39,91,0.0209106,0,39,0,91,0
2020-12-16,Région,RSS13,13 - Laval,16,0,40,0,16,40,0.0092683,0,16,0,40,0
2020-12-16,Région,RSS14,14 - Lanaudière,3,0,4,0,3,4,0.000761375,0,3,0,4,0
2020-12-16,Région,RSS15,15 - Laurentides,5,0,13,0,5,13,0.00205794,0,5,0,13,0
2020-12-16,Région,RSS16,16 - Montérégie,38,0,76,0,38,76,0.005287,0,38,0,76,0
2020-12-16,Région,RSS17,17 - Nunavik,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-16,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,0,0,0,0,0,0,0
