RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,138,0,0,0,138,1112,565.06,"87,3","91,7"
02 - Saguenay–Lac-Saint-Jean,27,0,1,0,28,632,227.85,"96,9","89,7"
03 - Capitale-Nationale,466,2,3,16,487,7515,988.62,"99,2","89,6"
04 - Mauricie et Centre-du-Québec,52,0,0,2,54,1122,213.99,"97,6","91,8"
05 - Estrie,87,0,13,1,101,1623,326.71,"97,2","94,0"
06 - Montréal,2786,81,88,37,2992,10860,522.50,"83,3","88,5"
07 - Outaouais,383,11,20,7,421,3249,803.30,"94,1","100,0"
08 - Abitibi-Témiscamingue,0,161,0,0,161,238,161.18,"0,0",.
09 - Côte-Nord,5,0,0,0,5,142,158.89,"92,3","83,3"
10 - Nord-du-Québec,0,0,0,0,0,8,59.33,"100,0","100,0"
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,112,124.93,"90,6","75,9"
12 - Chaudière-Appalaches,194,0,6,0,200,2830,655.23,"92,1","88,6"
13 - Laval,327,12,7,7,353,2662,596.10,"91,6","90,8"
14 - Lanaudière,235,16,2,8,261,1348,256.94,"91,6","94,5"
15 - Laurentides,316,11,33,9,369,2046,322.96,"86,4","89,7"
16 - Montérégie,188,11,77,6,282,3312,229.41,"83,7","84,9"
Inconnu,0,1,0,0,1,713,,"83,3","100,0"
Hors Québec,33,6,1,1,41,70,,"75,0","66,7"
Ensemble du Québec,5237,312,251,94,5894,39594,460.83,"89,7","89,8"
