Régions sociosanitaires;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;57;55;28;47;50;15;48;3 697
02 - Saguenay – Lac-Saint-Jean;21;19;28;26;31;40;23;10 641
03 - Capitale-Nationale;48;38;60;69;70;46;48;32 220
04 - Mauricie-et-Centre-du-Québec;26;36;47;40;37;23;26;14 785
05 - Estrie;43;58;39;51;64;48;51;14 128
06 - Montréal;189;168;205;202;238;235;221;128 882
07 - Outaouais;21;27;43;28;19;19;29;11 838
08 - Abitibi-Témiscamingue;1;2;0;1;1;0;0;1 107
09 - Côte-Nord;2;6;-1;3;0;2;1;560
10 - Nord-du-Québec;4;0;1;0;1;0;1;102
11 - Gaspésie – Îles-de-la-Madeleine;11;7;3;5;5;4;4;1 937
12 - Chaudière-Appalaches;71;80;94;86;84;77;56;18 322
13 - Laval;61;45;61;63;65;51;53;30 723
14 - Lanaudière;12;15;22;27;48;33;19;23 519
15 - Laurentides;32;29;43;41;29;42;35;20 371
16 - Montérégie;62;73;68;89;90;122;99;49 896
17 - Nunavik;0;0;0;0;1;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;1;120
Hors Québec;1;2;4;3;5;3;1;392
Région à déterminer;0;0;0;0;0;0;0;9
Total;662;660;745;781;838;760;716;363 296
