,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,21927,81,21888,39,183,3,21162,582,197738.33333,11088.90,294.44,92.55,22,986,4
02,02 - Saguenay-Lac-Saint-Jean,31261,48,30900,361,457,0,30402,402,278600,11220.75,144.29,164.03,18,1675,7
03,03 - Capitale-Nationale,91385,155,91024,361,1588,0,88417,1380,761103.66667,12006.91,180.02,208.64,50,4601,21
04,04 - Mauricie et Centre-du-Québec,60555,98,60315,240,1018,3,58695,842,527666.66667,11475.99,158.78,192.92,35,3383,14
05,05 - Estrie,51242,164,50718,524,628,1,49812,802,502406,10199.32,157.88,125.00,36,2910,9
06,06 - Montréal,316145,391,312787,3358,5530,0,307519,3096,2061667.3333,15334.43,149.46,268.23,180,16716,41
07,07 - Outaouais,40610,41,40165,445,319,0,39892,399,405378.66667,10017.79,97.38,78.69,15,1957,13
08,08 - Abitibi-Témiscamingue,11763,41,11722,41,115,1,11315,333,147876.33333,7954.62,225.09,77.77,16,723,8
09,09 - Côte-Nord,9413,23,9387,26,46,0,9106,261,90082.333333,10449.33,291.07,51.06,9,574,4
10,10 - Nord-du-Québec,1621,10,1384,237,4,0,1595,22,13383.666667,12111.78,165.36,29.89,4,55,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9697,49,9660,37,82,0,9272,343,90783.333333,10681.48,377.35,90.32,20,475,1
12,12 - Chaudière-Appalaches,62639,103,62356,283,671,0,61274,694,434525.66667,14415.49,158.97,154.42,37,2688,14
13,13 - Laval,73066,87,71107,1959,1127,0,71243,696,445993.33333,16382.76,154.62,252.69,34,3413,7
14,14 - Lanaudière,71464,114,70748,716,785,2,69873,806,530581,13469.01,150.09,147.95,48,2972,6
15,15 - Laurentides,82000,134,81399,601,771,0,80034,1195,640046.66667,12811.57,184.21,120.46,49,4008,16
16,16 - Montérégie,153926,264,152012,1914,2277,3,149523,2126,1452381.3333,10598.18,144.94,156.78,100,8641,23
17,17 - Nunavik,3073,7,3067,6,10,0,3033,30,14619,21020.59,201.73,68.40,0,114,0
18,18 - Terres-Cries-de-la-Baie-James,3186,26,2791,395,17,0,3024,145,18660.333333,17073.65,764.32,91.10,0,109,2
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,403,-2
99,Hors Québec,3038,3,3030,8,2,0,3007,29,.,.,.,.,4,0,0
999,Ensemble du Québec,1098011,1839,1086460,11551,15630,13,1068198,14183,8613493.6667,12747.57,163.45,181.46,677,56403,188

