No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,11,43,5,15,0,77,0.6 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,102,6,92,9,303,2.4 %
03,03 - Capitale-Nationale,4,538,274,32,345,28,1221,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,155,398,22,110,5,695,5.5 %
05,05 - Estrie,3,134,170,19,130,12,468,3.7 %
06,06 - Montréal,208,2772,1149,142,728,73,5072,40.1 %
07,07 - Outaouais,11,84,78,14,54,4,245,1.9 %
08,08 - Abitibi-Témiscamingue,2,2,23,1,3,0,31,0.2 %
09,09 - Côte-Nord,0,0,5,0,1,0,6,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,21,0,13,0,49,0.4 %
12,12 - Chaudière-Appalaches,5,131,164,8,143,5,456,3.6 %
13,13 - Laval,3,518,210,53,192,7,983,7.8 %
14,14 - Lanaudière,3,282,183,16,129,4,617,4.9 %
15,15 - Laurentides,66,191,163,56,89,14,579,4.6 %
16,16 - Montérégie,16,642,591,63,503,10,1825,14.4 %
17,17 - Nunavik,0,0,6,0,0,0,6,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),329,5569,3585,437,2547,172,12639,
9999,Ensemble du Québec (%),2.6 %,44.1 %,28.4 %,3.5 %,20.2 %,1.4 %,.,100.0 %

