Régions sociosanitaires;2021-06-13;2021-06-14;2021-06-15;2021-06-16;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;-1;2;0;3 945
02 - Saguenay – Lac-Saint-Jean;0;0;1;1;11 000
03 - Capitale-Nationale;7;7;9;7;32 727
04 - Mauricie-et-Centre-du-Québec;1;1;6;-5;15 158
05 - Estrie;4;2;3;20;14 864
06 - Montréal;48;26;46;55;132 210
07 - Outaouais;5;12;9;9;12 403
08 - Abitibi-Témiscamingue;1;2;-1;2;1 141
09 - Côte-Nord;0;0;0;0;572
10 - Nord-du-Québec;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;2;0;1;0;2 053
12 - Chaudière-Appalaches;9;8;6;17;19 227
13 - Laval;14;4;23;13;31 450
14 - Lanaudière;9;17;6;14;23 946
15 - Laurentides;5;6;11;8;20 918
16 - Montérégie;14;19;30;20;51 183
17 - Nunavik;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;119
Hors Québec;3;2;1;0;456
Région à déterminer;0;0;0;0;3
Total;123;105;153;161;373 531
