Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;12;86;78,3;615;559,9;0;;0;
5-9 ans;9;141;131,1;653;607;0;;0;
10-19 ans;30;552;277,5;2569;1291,5;0;;0;
20-29 ans;45;811;249,1;6692;2055,4;0;;< 5;n.p.
30-39 ans;26;627;191;5633;1716,3;0;;< 5;n.p.
40-49 ans;28;547;197;5395;1943,5;0;;15;* 5,4
50-59 ans;22;420;163,7;4705;1834,3;0;;69;26,9
60-69 ans;15;286;132,2;3144;1453,3;< 5;n.p.;227;104,9
70-79 ans;0;131;90,7;2750;1903;< 5;n.p.;599;414,5
80 ans et +;6;115;114,3;7146;7104;11;* 10,9;2590;2574,8
Manquant;0;< 5;;94;;0;;0;
Total;193;3720;180,1;39396;1907,2;15;* 0,7;3507;169,8
